Date,Symbols,Close,High,Low,Open,Volume
2020-12-28,AAPL,135.69,136.34,132.52,133.0,125413246
2020-12-28,GOOGL,1773.96,1787.0,1741.82,1744.91,1382537
2020-12-28,FB,277.0,277.3,265.66,268.74,23299707
2020-12-28,MRNA,111.4,122.88,111.05,120.04,31088166
2020-12-28,BA,216.09,219.2,215.1627,218.19,9090579
2020-12-28,TSLA,663.69,681.4,660.8,674.51,32278561
2020-12-28,MSFT,222.62,223.69,220.72,222.11,18121211
2020-12-28,V,210.99,211.82,207.34,208.23,5861457
2020-12-28,MA,341.87,342.97,334.32,335.3,3475376
2020-12-24,AMZN,3172.69,3202.0,3169.0,3193.9,1451917
2020-12-24,AAPL,130.99,132.47,130.12,130.34,55339111
2020-12-24,GOOGL,1734.16,1742.41,1724.35,1729.0,465638
2020-12-24,FB,267.4,270.4,266.2,268.875,6702033
2020-12-24,MRNA,123.39,129.7,122.7201,125.94,12720588
2020-12-24,BA,217.15,219.88,216.05,219.62,6398510
2020-12-24,TSLA,661.77,666.09,641.0,642.99,22865568
2020-12-24,MSFT,220.45,221.29,218.91,219.13,10661008
2020-12-24,V,207.09,207.2,205.01,205.05,3394096
2020-12-24,MA,333.46,333.83,327.84,328.14,1318913
2020-12-23,AMZN,3185.27,3210.13,3184.17,3205.0,2093787
2020-12-23,AAPL,129.98,131.45,129.8,131.18,88880667
2020-12-23,GOOGL,1728.23,1744.11,1721.2,1723.93,1148684
2020-12-23,FB,268.11,272.1699,266.23,266.89,14329038
2020-12-23,MRNA,130.34,132.0,115.0,120.05,41905043
2020-12-23,BA,219.69,224.4022,219.32,219.55,10869007
2020-12-23,TSLA,645.98,651.4999,622.5701,632.2,33172972
2020-12-23,MSFT,218.73,221.24,218.51,220.81,18895374
2020-12-23,V,203.71,205.74,203.52,205.74,6573832
2020-12-23,MA,326.74,332.68,326.54,331.6,2781613
2020-12-22,AMZN,3206.52,3222.0,3180.08,3202.8434,2381781
2020-12-22,AAPL,130.9,133.41,128.7,130.63,170612934
2020-12-22,GOOGL,1720.22,1732.6123,1705.78,1729.33,1018829
2020-12-22,FB,267.09,271.5,264.63,271.5,17334999
2020-12-22,MRNA,125.88,141.4,123.0,139.0,36126942
2020-12-22,BA,218.78,223.89,217.7,223.28,13326166
2020-12-22,TSLA,640.34,649.88,614.23,648.0,51861644
2020-12-22,MSFT,221.62,223.29,219.56,220.39,22880413
2020-12-22,V,204.25,206.8,204.01,206.79,7461428
2020-12-22,MA,329.73,332.69,329.09,331.63,2422756
2020-12-21,AMZN,3206.18,3226.9666,3166.0,3200.01,3836846
2020-12-21,AAPL,127.28,127.36,122.53,124.09,122154474
2020-12-21,GOOGL,1734.56,1737.0,1694.0,1709.13,1698707
2020-12-21,FB,272.79,274.67,267.79,272.978,16553740
2020-12-21,MRNA,138.3,147.26,137.79,140.84,23921047
2020-12-21,BA,219.31,219.43,211.1,212.34,18726505
2020-12-21,TSLA,649.86,668.5,646.07,666.24,58045264
2020-12-21,MSFT,220.29,221.68,215.04,215.3,37571081
2020-12-21,V,207.4,208.18,203.2,206.67,7635628
2020-12-21,MA,331.84,333.61,324.77,330.7,3670274
2020-12-18,AMZN,3201.65,3249.42,3171.6,3243.99,5995713
2020-12-18,AAPL,125.73,128.15,125.19,128.01,193975290
2020-12-18,GOOGL,1726.22,1748.36,1715.0,1746.1702,4262837
2020-12-18,FB,276.4,278.0,271.14,275.775,26693249
2020-12-18,MRNA,140.23,145.0,135.06,141.51,33157833
2020-12-18,BA,219.75,223.464,218.61,222.05,19092763
2020-12-18,TSLA,695.0,695.0,628.54,668.9,222126194
2020-12-18,MSFT,216.32,217.42,213.78,216.32,64018080
2020-12-18,V,209.67,210.34,208.25,209.38,13401696
2020-12-18,MA,337.76,339.02,331.82,333.96,8508075
2020-12-17,AMZN,3236.08,3263.51,3221.0,3250.0,3474347
2020-12-17,AAPL,127.75,128.63,127.09,127.95,95062478
2020-12-17,GOOGL,1740.51,1766.71,1731.15,1763.93,1744005
2020-12-17,FB,274.48,280.44,273.61,277.07,16377844
2020-12-17,MRNA,144.0,146.97,137.3,137.92,32404457
2020-12-17,BA,221.24,228.49,220.53,227.24,17465600
2020-12-17,TSLA,655.9,658.82,619.5,628.19,56270144
2020-12-17,MSFT,217.15,218.6,215.66,217.58,32856138
2020-12-17,V,209.54,210.14,207.24,207.39,6567929
2020-12-17,MA,334.35,335.76,330.89,332.01,2746253
2020-12-16,AMZN,3240.96,3247.0,3163.68,3176.01,4427616
2020-12-16,AAPL,126.86,127.42,125.63,126.47,98939918
2020-12-16,GOOGL,1757.19,1769.11,1749.06,1769.11,1233836
2020-12-16,FB,275.67,277.86,272.51,274.76,15884999
2020-12-16,MRNA,137.03,141.334,134.31,137.75,28476275
2020-12-16,BA,225.87,232.37,225.2959,229.33,17858394
2020-12-16,TSLA,622.77,632.5,605.0,628.23,42095813
2020-12-16,MSFT,217.01,217.82,212.5,212.53,35389854
2020-12-16,V,206.67,207.51,205.55,206.88,7562737
2020-12-16,MA,329.59,331.47,326.76,331.43,3419142
2020-12-15,AMZN,3165.12,3188.4999,3130.49,3181.01,3323686
2020-12-15,AAPL,126.93,126.95,123.2,123.41,158745652
2020-12-15,GOOGL,1761.08,1764.0,1741.67,1759.86,1068292
2020-12-15,FB,275.55,276.08,267.47,274.83,23979461
2020-12-15,MRNA,147.22,157.28,142.46,157.0,36451258
2020-12-15,BA,229.5,232.5,224.36,230.0,19013191
2020-12-15,TSLA,633.25,646.9,623.8,643.28,45223559
2020-12-15,MSFT,211.91,213.18,210.04,212.94,27300914
2020-12-15,V,206.76,207.83,204.57,206.94,9875264
2020-12-15,MA,331.12,332.68,325.15,330.65,3130352
2020-12-14,AMZN,3156.97,3190.47,3126.0,3143.0,4155794
2020-12-14,AAPL,120.88,122.44,120.64,121.69,79664842
2020-12-14,GOOGL,1752.26,1789.8,1749.13,1770.72,1652471
2020-12-14,FB,274.19,277.22,271.56,273.3722,16376880
2020-12-14,MRNA,155.07,163.7611,152.5606,163.4,22467742
2020-12-14,BA,228.62,237.63,228.37,235.0,19231239
2020-12-14,TSLA,639.83,642.7499,610.2001,619.0,52040649
2020-12-14,MSFT,211.98,213.97,210.67,210.77,29099821
2020-12-14,V,205.66,209.66,205.38,206.25,12060809
2020-12-14,MA,328.64,336.18,325.12,326.51,3579688
2020-12-11,AMZN,3116.42,3118.67,3072.82,3096.66,3064695
2020-12-11,AAPL,121.51,121.85,119.67,121.53,87587199
2020-12-11,GOOGL,1774.8,1777.31,1752.74,1760.0,931431
2020-12-11,FB,273.55,276.48,270.25,274.53,14391401
2020-12-11,MRNA,156.93,163.75,155.89,159.7,22069857
2020-12-11,BA,230.33,236.22,228.33,232.82,17311799
2020-12-11,TSLA,609.99,624.0,596.8,615.01,46474974
2020-12-11,MSFT,211.04,211.1,206.94,207.88,31303713
2020-12-11,V,204.65,205.3,202.91,203.77,9299426
2020-12-11,MA,324.95,329.06,323.07,324.62,4209950
2020-12-10,AMZN,3101.49,3142.1,3076.0,3088.99,3030179
2020-12-10,AAPL,122.33,122.96,119.27,119.62,81917343
